Latitude;Longitude;Data;CPF;CNPJ;nome_cliente;regiao;estado;produto;quantidade;estoque_atual;valor_unitario;lucro_total
-30,466445;-48,986019;23/05/2024;;49390256000141;Suprimentos Tecnicos LTDA;Sul;Santa Catarina;Tablet Apple iPad;1;54;3992,82;1688,14
-31,828231;-51,893706;07/04/2025;;66597975000157;Inovacao Digital SA;Sul;Rio Grande do Sul;Smartphone Samsung Galaxy;7;36;2237,47;7620,21
-17,006527;-41,045931;30/05/2024;;03667682000189;Varejo Digital LTDA;Nordeste;Paraiba;Notebook Dell Inspiron;5;33;2876,24;5534,54
-15,658026;-41,364251;26/09/2024;93612711997;;Kamilly Freitas;Sudeste;Minas Gerais;Smartphone Samsung Galaxy;10;26;1224,35;5732,98
-1,338294;-43,71923;04/10/2025;09701448065;;Murilo Jesus;Nordeste;Alagoas;Notebook Dell Inspiron;2;31;3233,55;1999,82
-27,032634;-49,898623;30/05/2024;;19535582000139;Distribuidora Nacional;Sul;Parana;Smart TV LG;3;1;1881,97;1857,81
-23,254675;-48,68954;22/06/2024;;56230505000105;Importadora Tecnologia;Sul;Rio Grande do Sul;Smart TV LG;1;0;2207,45;731,24
-20,725268;-47,688151;27/03/2024;;24281364000155;Distribuidora Nacional;Sudeste;Espirito Santo;Impressora HP;10;83;508,74;1841,73
-3,194075;-50,272619;27/04/2025;61096491559;;Isadora Vasconcelos;Norte;Para;Tablet Apple iPad;8;46;3462,46;10138,37
-15,86481;-48,243503;17/05/2024;;35017206000109;Comercio Internacional SA;Sudeste;Minas Gerais;Tablet Apple iPad;5;41;2861,7;6300,17
-22,598992;-48,441188;03/04/2024;;22376886000105;Varejo Digital LTDA;Sul;Santa Catarina;Tablet Apple iPad;9;32;3764,32;10650,08
-14,194852;-41,585655;06/12/2024;;35891150000117;Comercio Internacional SA;Sudeste;Sao Paulo;Notebook Dell Inspiron;5;26;3496,08;8520,46
-3,844474;-39,68567;18/05/2025;81461303052;;Rhavi Pereira;Nordeste;Bahia;Smart TV LG;8;64;2023,75;7724,22
-18,877175;-40,788028;03/07/2024;;00660277000140;Atacadista Informatica;Sudeste;Rio de Janeiro;Tablet Apple iPad;6;26;3958,41;8770,12
-19,772641;-60,787443;03/11/2025;;57851860000156;Comercio Internacional SA;Centro-Oeste;Mato Grosso do Sul;Impressora HP;3;80;668,34;848,75
-23,97105;-48,272848;13/09/2024;03724610262;;Jade Alves;Sul;Santa Catarina;Smartphone Samsung Galaxy;3;23;1303,24;1558,8
-23,76763;-50,467368;25/01/2024;;24187476000141;Tech Solutions LTDA;Sudeste;Rio de Janeiro;Smart TV LG;5;59;2941,53;6255,41
-14,925009;-57,618225;13/07/2025;34433984302;;Isabella da Cruz;Centro-Oeste;Goias;Impressora HP;6;74;811,87;1732,04
-24,320032;-56,52971;01/01/2025;47276936589;;Luiz Miguel Carvalho;Sul;Santa Catarina;Smart TV LG;6;53;1946,7;4370,97
-23,550861;-50,445128;15/11/2024;;14748507000132;Tech Solutions LTDA;Sul;Parana;Smartphone Samsung Galaxy;5;18;2220,46;5534,53
-22,480707;-56,193418;21/06/2025;;15918377000100;Distribuidora Nacional;Sul;Santa Catarina;Tablet Apple iPad;10;16;3611,05;11704,07
-17,030923;-44,209108;09/10/2024;;35046744000121;Comercio Internacional SA;Nordeste;Ceara;Impressora HP;8;66;819,46;2001,52
-30,426604;-49,582892;20/01/2024;;24191392000181;Comercio Eletronico Brasil;Sul;Santa Catarina;Notebook Dell Inspiron;3;23;3295,88;4421,26
-1,54869;-59,729065;11/01/2024;;76575209000145;Suprimentos Tecnicos LTDA;Norte;Tocantins;Tablet Apple iPad;3;13;3836,26;3729,96
-8,946489;-60,501043;31/03/2024;00377070009;;Enzo Gabriel Nogueira;Centro-Oeste;Mato Grosso;Impressora HP;4;62;616,88;906,02
-25,828715;-50,642929;19/09/2025;57181698885;;Clara Marques;Sul;Santa Catarina;Tablet Apple iPad;3;10;3618,39;4918,35
1,402938;-61,684321;27/06/2024;;89797358000109;Inovacao Digital SA;Norte;Tocantins;Tablet Apple iPad;1;9;3947,11;1615,05
-17,661893;-44,519461;26/05/2024;;91747581000185;Distribuidora Nacional;Sudeste;Minas Gerais;Impressora HP;5;57;580,67;1018,03
-13,328096;-58,881302;15/06/2024;;20502406000180;Comercio Internacional SA;Centro-Oeste;Distrito Federal;Smart TV LG;4;49;2247,83;3967,63
-19,971013;-50,81043;10/08/2025;14137583390;;Vitor Gabriel Almeida;Sudeste;Sao Paulo;Impressora HP;8;49;624,41;2127,79
-22,551541;-48,054401;13/03/2024;89828399091;;Apollo Brito;Sul;Parana;Smart TV LG;10;39;2983,71;10365,15
4,286809;-69,920842;17/08/2024;;17133091000136;Varejo Digital LTDA;Norte;Para;Impressora HP;8;41;806,13;2282,46
-29,187575;-52,329325;04/05/2024;90901275697;;Caroline Garcia;Sul;Parana;Smartphone Samsung Galaxy;8;10;2208,45;5818,75
2,400462;-64,026552;24/12/2025;;97585198000154;Comercio Internacional SA;Norte;Acre;Smart TV LG;6;33;2856,66;5541,38
-5,782332;-42,071914;10/02/2025;;19743362000109;Tech Solutions LTDA;Nordeste;Bahia;Smartphone Samsung Galaxy;8;2;2147,98;5322,37
-29,470648;-49,582825;20/12/2025;;77289078000100;Distribuidora Nacional;Sul;Santa Catarina;Tablet Apple iPad;6;3;3090,26;5956,89
-3,103526;-56,263974;18/02/2024;;27589370000162;Comercio Eletronico Brasil;Norte;Rondonia;Smart TV LG;1;32;2030,75;865,22
-3,798588;-51,659494;04/12/2025;;07207328000122;Comercio Eletronico Brasil;Norte;Roraima;Smart TV LG;6;26;2941,84;6761,18
-6,820315;-37,281366;06/02/2025;;78903883000137;Inovacao Digital SA;Nordeste;Ceara;Smart TV LG;6;20;2809,73;8084,63
-13,281701;-55,779785;30/06/2024;;79398362000132;Suprimentos Tecnicos LTDA;Centro-Oeste;Distrito Federal;Smart TV LG;2;18;2723,61;2640,84
-2,452632;-54,224302;31/05/2024;;12390377000183;Varejo Digital LTDA;Norte;Amazonas;Smart TV LG;9;9;2660,83;10122,46
-4,498594;-57,451462;04/10/2025;74595508506;;Isabel Oliveira;Norte;Amazonas;Smart TV LG;6;3;2019,74;5295,85
-18,126531;-43,592245;28/03/2024;;56247261000165;Suprimentos Tecnicos LTDA;Sudeste;Espirito Santo;Notebook Dell Inspiron;10;13;3385,79;15442,14
4,219498;-66,921428;24/07/2025;61771410213;;Melina das Neves;Norte;Acre;Impressora HP;8;33;553,62;2112,29
-23,155367;-49,7013;30/05/2024;;73397051000172;Importadora Tecnologia;Sudeste;Espirito Santo;Notebook Dell Inspiron;7;6;3311,16;10202,25
-15,742796;-58,199579;26/02/2024;;35631816000106;Varejo Digital LTDA;Centro-Oeste;Mato Grosso do Sul;Notebook Dell Inspiron;6;0;3301,55;5972,75
-12,548843;-42,747898;04/01/2024;49505037902;;Julia Gomes;Nordeste;Sergipe;Smart TV LG;1;2;2769,13;1219,84
-22,04547;-49,510158;08/08/2024;;08220575000121;Varejo Digital LTDA;Sul;Santa Catarina;Impressora HP;2;31;624,55;428,02
-2,322552;-50,266616;28/09/2024;;88004975000139;Tech Solutions LTDA;Norte;Roraima;Smartphone Samsung Galaxy;2;0;1488,78;908,1
-19,84423;-59,705149;24/04/2025;;22573662000193;Inovacao Digital SA;Centro-Oeste;Goias;Tablet Apple iPad;3;0;3372,25;4428,16
4,650431;-72,384698;21/06/2025;74231560781;;Arthur da Mata;Norte;Roraima;Tablet Apple iPad;6;144;2944,41;5951,07
-28,858448;-48,521281;25/01/2024;;13114565000141;Atacadista Informatica;Sul;Parana;Smartphone Samsung Galaxy;9;143;1679,66;6577,53
-17,782586;-38,129012;20/08/2024;17363701466;;Ana Azevedo;Nordeste;Piaui;Smartphone Samsung Galaxy;7;136;1644,25;4066,17
-22,867893;-48,636916;05/02/2024;33562601972;;Benicio Farias;Centro-Oeste;Mato Grosso do Sul;Notebook Dell Inspiron;8;88;2828,47;9090,47
-14,496841;-41,307382;30/11/2024;;75047749000193;Comercio Eletronico Brasil;Sudeste;Espirito Santo;Smartphone Samsung Galaxy;10;126;1697,43;6339,52
2,492489;-68,928135;11/10/2024;27329400971;;Dra. Maria Liz Marques;Norte;Acre;Smart TV LG;2;0;2005,4;1994,86
-21,364436;-54,136129;26/09/2024;58414733107;;Eloah Rodrigues;Centro-Oeste;Mato Grosso;Smart TV LG;2;50;1985,22;1246,01
-22,040113;-39,070847;13/05/2024;81852607610;;Lunna Leao;Sudeste;Sao Paulo;Tablet Apple iPad;1;143;3855,01;1736,73
2,28416;-69,257767;16/09/2025;74088453301;;Elisa Dias;Norte;Amapa;Impressora HP;10;21;876,2;2952,17
-5,171223;-46,690376;03/04/2024;;42710909000183;Importadora Tecnologia;Nordeste;Piaui;Smartphone Samsung Galaxy;8;118;2350,87;7624,9
-9,169226;-59,703714;24/06/2025;75908017639;;Barbara Castro;Centro-Oeste;Goias;Smartphone Samsung Galaxy;2;116;2345,3;2056,44
-22,757037;-52,395916;30/03/2024;;16090468000154;Inovacao Digital SA;Sul;Rio Grande do Sul;Notebook Dell Inspiron;10;78;3291,93;10064,95
-19,467719;-52,010321;03/12/2024;31458709710;;Dr. Brayan Vasconcelos;Centro-Oeste;Distrito Federal;Impressora HP;2;19;572,07;442,41
-29,352548;-52,865912;06/05/2024;49028284052;;Ester Correia;Sul;Rio Grande do Sul;Impressora HP;4;15;825,02;1459,27
-9,445157;-55,497124;26/05/2025;;84480922000133;Tech Solutions LTDA;Centro-Oeste;Distrito Federal;Tablet Apple iPad;3;140;2913,38;4312,31
-15,577564;-48,25741;01/09/2024;;32862129000103;Importadora Tecnologia;Sudeste;Rio de Janeiro;Impressora HP;2;13;781,41;676,52
-14,604203;-43,143224;13/10/2025;;48985332000107;Inovacao Digital SA;Sudeste;Minas Gerais;Smartphone Samsung Galaxy;6;110;1437,79;3907,0
-1,636195;-53,251834;17/05/2024;;43838039000195;Distribuidora Nacional;Norte;Amazonas;Notebook Dell Inspiron;4;74;2932,37;4829,49
-21,783552;-58,321929;01/04/2024;;41276678000189;Inovacao Digital SA;Centro-Oeste;Distrito Federal;Impressora HP;10;3;840,94;3631,28
-3,058778;-55,703772;08/05/2025;;69150088000124;Importadora Tecnologia;Norte;Amazonas;Tablet Apple iPad;5;135;2916,72;6513,64
-22,562173;-43,421691;26/06/2025;44834713849;;Dante Abreu;Sudeste;Minas Gerais;Notebook Dell Inspiron;4;70;3123,67;4134,16
-20,878598;-42,129442;04/03/2024;;31908746000121;Varejo Digital LTDA;Sudeste;Minas Gerais;Smart TV LG;1;49;2903,09;1390,07
-1,699439;-50,291783;20/05/2024;;29632775000161;Importadora Tecnologia;Norte;Para;Impressora HP;2;1;669,1;478,74
-32,034467;-51,421118;18/08/2025;00856771678;;Alicia Teixeira;Sul;Santa Catarina;Impressora HP;1;0;480,38;224,67
-16,086714;-43,444612;06/06/2024;;76259846000102;Tech Solutions LTDA;Sudeste;Sao Paulo;Smartphone Samsung Galaxy;6;104;1416,59;3234,32
-24,131827;-55,105775;03/02/2025;06196581694;;Anthony Macedo;Sul;Rio Grande do Sul;Impressora HP;5;230;719,82;1405,24
-23,049837;-43,686905;03/06/2024;48936593676;;Vicente Caldeira;Sudeste;Espirito Santo;Notebook Dell Inspiron;10;60;3340,96;13051,37
-24,571082;-53,461366;06/05/2025;;31904784000106;Suprimentos Tecnicos LTDA;Sul;Rio Grande do Sul;Impressora HP;10;220;537,21;2168,56
-29,624998;-48,439503;04/04/2024;03511852323;;Srta. Kamilly Caldeira;Sul;Parana;Smartphone Samsung Galaxy;5;99;1669,84;3650,83
-5,345628;-41,771132;16/11/2025;95855398293;;Ana Julia Nunes;Nordeste;Piaui;Smartphone Samsung Galaxy;10;89;1443,13;7144,07
-32,525942;-54,140849;16/11/2025;34325925406;;Francisco Goncalves;Sul;Rio Grande do Sul;Smartphone Samsung Galaxy;2;87;1741,91;1568,08
-11,517103;-53,983173;23/03/2025;99621912547;;Olivia das Neves;Centro-Oeste;Goias;Smartphone Samsung Galaxy;9;78;1352,7;5164,67
-11,369826;-48,264828;10/02/2024;84627495307;;Otavio Fonseca;Centro-Oeste;Goias;Tablet Apple iPad;10;125;3686,3;17199,02
2,566982;-56,688965;19/04/2024;96162052346;;Bianca Castro;Norte;Amapa;Notebook Dell Inspiron;6;54;3094,4;8421,43
-15,914672;-47,592699;22/02/2024;;11470379000110;Inovacao Digital SA;Nordeste;Pernambuco;Impressora HP;10;210;802,02;3881,85
-3,000443;-59,859238;30/04/2024;;54287061000100;Comercio Eletronico Brasil;Norte;Para;Smartphone Samsung Galaxy;1;77;1752,66;719,79
-13,860571;-46,782076;30/01/2024;;96717818000107;Varejo Digital LTDA;Centro-Oeste;Distrito Federal;Smart TV LG;5;44;1972,33;4206,57
-22,573088;-57,29705;13/05/2024;;90422490000107;Varejo Digital LTDA;Sul;Rio Grande do Sul;Tablet Apple iPad;10;115;3449,12;16418,98
-10,729496;-49,53557;08/01/2025;;40765481000140;Distribuidora Nacional;Centro-Oeste;Mato Grosso;Smartphone Samsung Galaxy;9;68;1406,71;5241,18
-23,115208;-53,041285;12/12/2024;;38854063000188;Varejo Digital LTDA;Sul;Santa Catarina;Smartphone Samsung Galaxy;2;66;1386,56;1240,73
-4,615844;-38,618944;12/09/2025;94432960124;;Murilo Ribeiro;Nordeste;Ceara;Smart TV LG;6;38;2727,24;5621,86
-20,270543;-47,626576;05/08/2024;;64357428000179;Importadora Tecnologia;Centro-Oeste;Distrito Federal;Notebook Dell Inspiron;7;47;2953,1;7922,6
-2,523757;-47,043796;28/06/2025;01252040601;;Srta. Luiza Ribeiro;Nordeste;Rio Grande do Norte;Notebook Dell Inspiron;10;37;2867,14;10010,13
-27,952257;-48,512868;12/11/2025;38262258720;;Emanuel Correia;Sul;Parana;Impressora HP;10;200;471,14;1847,47
1,859169;-56,705265;11/06/2024;29490250309;;Dr. Daniel Gomes;Norte;Tocantins;Smartphone Samsung Galaxy;10;56;1476,97;4831,56
-0,834997;-51,239501;25/04/2024;;51037497000153;Suprimentos Tecnicos LTDA;Norte;Amazonas;Smartphone Samsung Galaxy;2;54;1298,73;852,35
-22,577916;-45,868358;21/01/2025;30801431247;;Murilo Pimenta;Sudeste;Minas Gerais;Tablet Apple iPad;5;110;3019,64;4628,43
-14,581135;-35,116878;19/06/2024;;91314561000110;Comercio Eletronico Brasil;Nordeste;Paraiba;Smartphone Samsung Galaxy;8;46;1316,56;3962,86
0,009004;-66,222417;29/09/2025;56281468970;;Antonella Cavalcante;Norte;Rondonia;Impressora HP;9;191;749,09;2100,48
-14,656304;-47,496406;29/11/2025;92417031485;;Dr. Antônio Ribeiro;Sudeste;Minas Gerais;Impressora HP;6;185;738,55;1852,32
-28,192136;-53,383871;09/11/2024;;51068909000112;Tech Solutions LTDA;Sul;Parana;Notebook Dell Inspiron;6;31;3032,83;5492,07
-21,2898;-44,838901;13/04/2024;09278771805;;Cauê Lopes;Sudeste;Espirito Santo;Tablet Apple iPad;1;109;2829,53;1086,04
2,853107;-55,311493;31/03/2025;;47301924000191;Tech Solutions LTDA;Norte;Roraima;Smartphone Samsung Galaxy;4;42;2127,33;2734,65
-4,937416;-53,372394;05/02/2025;;26796003000177;Atacadista Informatica;Norte;Roraima;Tablet Apple iPad;7;102;3313,96;9855,78
-15,505251;-39,602146;05/09/2025;;56446087000180;Industria Eletronica Brasil;Sudeste;Sao Paulo;Smart TV LG;10;28;1930,99;7406,03
-20,948126;-48,855711;22/04/2025;;52913876000122;Varejo Digital LTDA;Centro-Oeste;Mato Grosso do Sul;Tablet Apple iPad;7;95;3282,07;7583,43
-3,162138;-55,943686;29/06/2025;32437308806;;Maria Julia Cavalcante;Norte;Amazonas;Tablet Apple iPad;5;90;3726,9;7138,05
-16,05448;-42,862135;29/07/2025;53566834645;;Nicolas Cunha;Sudeste;Sao Paulo;Smart TV LG;10;18;2280,84;9113,57
-6,239364;-45,316826;12/07/2025;05375176505;;Ana Cecilia Rezende;Nordeste;Maranhao;Smartphone Samsung Galaxy;5;37;2486,11;4303,81
-2,891441;-59,931983;23/09/2025;91087427231;;Anthony Cavalcanti;Norte;Tocantins;Smartphone Samsung Galaxy;3;34;1971,93;1984,19
-14,67759;-60,509575;01/12/2024;;44392995000159;Inovacao Digital SA;Centro-Oeste;Goias;Tablet Apple iPad;1;89;3673,47;1725,36
-16,86419;-42,883139;09/02/2025;;71132648000160;Industria Eletronica Brasil;Sudeste;Sao Paulo;Impressora HP;1;184;849,09;349,8
-10,483792;-35,832336;10/06/2025;33361803845;;Lorena Machado;Nordeste;Piaui;Smartphone Samsung Galaxy;3;31;1756,22;2404,53
-17,169674;-39,613151;31/05/2025;;61632378000100;Importadora Tecnologia;Sudeste;Rio de Janeiro;Smartphone Samsung Galaxy;9;22;1627,12;6470,3
-26,863578;-55,779075;01/10/2024;95408888088;;Aylla Machado;Sul;Rio Grande do Sul;Notebook Dell Inspiron;10;21;3156,68;10145,63
3,535181;-68,567607;16/09/2025;;70200656000133;Varejo Digital LTDA;Norte;Amazonas;Smart TV LG;1;17;2692,92;1069,42
-4,928803;-45,966287;12/06/2025;;07396797000137;Inovacao Digital SA;Nordeste;Pernambuco;Tablet Apple iPad;9;80;3061,73;10441,39
-24,17955;-46,797103;28/07/2024;;14645660000134;Comercio Internacional SA;Sudeste;Espirito Santo;Smart TV LG;4;13;2578,49;3218,43
-30,089678;-54,012677;03/08/2025;;20525896000130;Industria Eletronica Brasil;Sul;Rio Grande do Sul;Tablet Apple iPad;6;74;2779,56;5106,46
-2,863015;-70,790655;18/03/2024;92803853809;;Emanuel Martins;Norte;Amazonas;Impressora HP;5;179;877,37;2139,95
-14,668611;-60,671687;06/11/2024;;77584488000176;Varejo Digital LTDA;Centro-Oeste;Distrito Federal;Impressora HP;4;175;663,77;824,36
-13,402487;-36,805665;08/10/2025;33117755896;;Laura Fernandes;Nordeste;Pernambuco;Smartphone Samsung Galaxy;5;17;1952,86;4492,46
-15,187164;-42,669033;01/05/2024;;20053178000108;Importadora Tecnologia;Nordeste;Paraiba;Smartphone Samsung Galaxy;8;9;1266,06;4502,53
-6,744494;-37,691141;16/08/2024;;70568558000153;Industria Eletronica Brasil;Nordeste;Paraiba;Impressora HP;5;170;517,77;1187,77
-30,344703;-48,02209;14/07/2024;;17900116000180;Importadora Tecnologia;Sul;Rio Grande do Sul;Notebook Dell Inspiron;8;13;3070,19;8203,91
-16,707347;-44,198199;10/04/2024;61699353409;;Beatriz Dias;Nordeste;Paraiba;Smartphone Samsung Galaxy;7;2;1971,96;5579,01
-0,572268;-54,714867;15/11/2024;;70778379000140;Importadora Tecnologia;Norte;Amazonas;Impressora HP;3;167;688,37;965,46
-32,717286;-55,955847;13/05/2025;;64881678000103;Comercio Internacional SA;Sul;Santa Catarina;Impressora HP;5;162;763,96;1188,55
-22,029805;-49,369344;22/12/2025;94930926661;;Enzo Gabriel Macedo;Sudeste;Rio de Janeiro;Notebook Dell Inspiron;3;10;3326,11;4145,18
-31,875767;-49,668389;30/05/2024;38049850331;;Dr. Lorenzo Ribeiro;Sul;Parana;Notebook Dell Inspiron;4;6;3326,05;5772,35
-23,141882;-39,035267;26/02/2025;;11983154000167;Suprimentos Tecnicos LTDA;Sudeste;Espirito Santo;Smart TV LG;2;11;2913,15;1911,81
-20,412463;-46,881099;04/08/2024;;14991910000198;Atacadista Informatica;Sudeste;Sao Paulo;Notebook Dell Inspiron;3;3;3060,84;2964,82
-14,640109;-50,83046;02/01/2025;;20750192000160;Tech Solutions LTDA;Sudeste;Espirito Santo;Impressora HP;1;161;575,61;276,88
-11,240854;-49,752157;16/10/2025;;85519785000166;Varejo Digital LTDA;Centro-Oeste;Goias;Smart TV LG;2;9;2108,21;1374,75
