Latitude;Longitude;Data;CPF;CNPJ;nome_cliente;regiao;estado;produto;quantidade;valor_unitario;lucro_total
-23,63439;-56,879566;21/03/2025;20769310150;;Dom Abreu;Centro-Oeste;Mato Grosso;HD Externo Seagate;11;599,2;3158,84
-14,184736;-49,073001;13/02/2025;04219233342;;Dra. Heloisa Cassiano;Sudeste;Rio de Janeiro;Pendrive SanDisk;4;35,19;59,97
-17,510631;-45,264551;03/07/2024;94973680974;;Calebe Mendes;Nordeste;Bahia;Carregador Portatil;20;100,35;867,4
-24,781257;-49,067624;09/08/2025;;69159192000180;Industria Eletronica Brasil;Sul;Rio Grande do Sul;Roteador TP-Link;2;164,52;137,12
-14,100176;-45,302436;16/07/2024;;86650023000167;Solucoes Corporativas;Sudeste;Rio de Janeiro;Roteador TP-Link;11;178,21;613,69
-18,691979;-39,052607;05/09/2025;93330491000;;Gabrielly Garcia;Sudeste;Sao Paulo;Fone de Ouvido JBL;6;245,83;522,6
-16,902542;-38,785073;21/11/2024;;49886555000171;Importadora Produtos Eletronicos;Nordeste;Pernambuco;Cadeira Gamer;16;1123,02;6863,32
1,093602;-66,07245;27/07/2024;15927017959;;Rafael Aragao;Norte;Para;HD Externo Seagate;4;364,91;487,89
-26,986862;-49,518316;26/01/2025;;37365361000141;Varejo Digital LTDA;Sul;Parana;Impressora HP;16;543,32;2677,72
-27,629164;-50,559172;08/10/2025;;45702163000154;Industria Nacional Tecnologia;Sul;Santa Catarina;Carregador Portatil;9;90,21;243,62
-11,516191;-39,75951;20/01/2024;;64445004000166;Global Distribuidora;Nordeste;Maranhao;Pendrive SanDisk;9;51,4;155,53
-17,486895;-39,652699;04/04/2025;25594532153;;Bento Sampaio;Sudeste;Espirito Santo;Tablet Apple iPad;2;3951,43;2988,11
-1,758808;-36,635192;06/02/2024;;75419733000164;Empresa Brasileira Tecnologia;Nordeste;Alagoas;Cadeira Gamer;6;766,38;1380,88
-18,558962;-50,802793;01/10/2025;;51176285000157;Suprimentos Tecnicos LTDA;Sudeste;Rio de Janeiro;Estabilizador SMS;15;181,77;934,84
-23,047865;-42,5452;03/10/2025;88155631729;;Lavinia Fogaca;Sudeste;Minas Gerais;Caixa de Som Bluetooth;15;189,0;973,53
-15,902933;-47,277628;29/04/2025;;47045387000166;Global Distribuidora;Centro-Oeste;Mato Grosso;Estabilizador SMS;14;153,13;769,55
-13,225633;-38,969337;24/11/2025;;79493251000105;Varejo Digital LTDA;Nordeste;Sergipe;Caixa de Som Bluetooth;6;146,55;415,53
4,223342;-51,240089;28/09/2025;;39881544000145;Distribuidora Nacional;Norte;Amazonas;HD Externo Seagate;6;446,64;820,27
-19,280744;-50,812711;16/02/2024;;54030319000199;Industria Nacional Tecnologia;Centro-Oeste;Goias;Caixa de Som Bluetooth;7;194,57;450,52
-22,368548;-40,625758;25/08/2024;44977502809;;Sra. Raquel Marques;Sudeste;Sao Paulo;Estabilizador SMS;3;139,39;194,96
-20,149401;-52,936782;18/12/2024;;99923847000105;Suprimentos Digitais LTDA;Centro-Oeste;Distrito Federal;Notebook Dell Inspiron;9;3041,65;8585,46
-3,882875;-38,423849;09/07/2025;;04234204000148;Atacadista Informatica;Nordeste;Paraiba;Impressora HP;17;835,53;6692,16
-17,057252;-41,238756;27/05/2025;19400595697;;Ian Câmara;Nordeste;Piaui;Roteador TP-Link;16;156,18;867,81
-12,079763;-52,117096;27/07/2024;;58003001000170;Industria Eletronica Brasil;Centro-Oeste;Goias;Webcam Logitech;20;265,49;1729,77
-33,640349;-57,746953;24/01/2025;05447415101;;Dr. Jose Fogaca;Sul;Rio Grande do Sul;Roteador TP-Link;13;221,51;1436,71
-31,917036;-56,454116;12/08/2024;54926924102;;Valentina Azevedo;Sul;Rio Grande do Sul;Tablet Apple iPad;1;3277,12;1270,86
-26,993782;-51,144091;13/04/2025;;78867193000170;Varejo Digital LTDA;Sul;Parana;Impressora HP;17;502,37;4209,82
-24,584289;-39,557169;09/08/2024;14250619400;;Daniela Marques;Sudeste;Sao Paulo;Monitor Acer;5;1052,4;1869,58
-26,227775;-56,285183;14/06/2025;;93363344000146;Varejo Digital LTDA;Sul;Parana;Pendrive SanDisk;9;65,17;197,98
1,179136;-52,167897;18/09/2024;84774577944;;Olivia Pires;Norte;Roraima;Smartphone Samsung Galaxy;11;1607,03;7634,7
-2,840834;-52,732059;19/03/2024;47386668600;;Ayla Câmara;Norte;Rondonia;Teclado Mecanico Logitech;11;350,37;1225,93
-15,278016;-45,752835;15/06/2024;;59832503000176;Suprimentos Digitais LTDA;Nordeste;Sergipe;Carregador Portatil;17;127,28;855,96
-27,53752;-56,986328;27/10/2024;;07341327000176;Comercio Internacional SA;Sul;Rio Grande do Sul;Cabo HDMI;6;23,7;58,43
-8,785774;-44,204506;19/02/2024;99422325595;;Erick Andrade;Nordeste;Rio Grande do Norte;Webcam Logitech;7;264,82;597,55
-12,62778;-53,255554;18/09/2025;;81931395000148;Empresa Brasileira Tecnologia;Centro-Oeste;Mato Grosso do Sul;Carregador Portatil;14;127,28;714,24
-2,960568;-66,716229;20/07/2024;80425493342;;Henry Gabriel Rocha;Norte;Tocantins;Notebook Dell Inspiron;11;2828,78;10802,46
-15,777667;-60,053454;20/03/2025;;30967026000174;Varejo Digital LTDA;Centro-Oeste;Goias;Cabo HDMI;20;20,53;148,01
1,087362;-51,350023;01/10/2024;;44384302000186;Comercio Internacional SA;Norte;Roraima;Notebook Dell Inspiron;17;3106,2;23154,93
-15,782563;-49,149789;21/10/2024;05933211621;;Ryan Guerra;Centro-Oeste;Mato Grosso do Sul;HD Externo Seagate;18;568,26;4794,61
-19,541082;-50,524279;04/01/2024;74496482703;;Beatriz Santos;Sudeste;Minas Gerais;Mesa para Computador;16;594,23;3297,74
-11,100427;-56,209629;30/10/2024;75475420939;;Dr. Nicolas Lima;Centro-Oeste;Goias;Smartphone Samsung Galaxy;19;1646,3;13326,65
-24,752325;-50,778961;22/10/2024;;49339407000137;Empresa Brasileira Tecnologia;Sul;Parana;Cadeira Gamer;17;847,8;7035,31
-12,572814;-47,779949;18/01/2024;81436489903;;Thales Rocha;Nordeste;Bahia;Carregador Portatil;7;92,16;206,82
-10,27618;-36,309167;20/06/2024;86393109394;;Srta. Larissa Barros;Nordeste;Maranhao;Fone de Ouvido JBL;14;198,81;1389,03
0,220105;-57,167926;03/09/2024;48648180295;;Amanda Correia;Norte;Amazonas;Mesa para Computador;12;549,48;2747,86
-3,086258;-62,451698;02/02/2025;13088942107;;Maya Costela;Norte;Para;Impressora HP;17;688,97;5292,54
-15,281515;-42,791645;21/03/2024;;39852347000106;Atacadista Informatica;Sudeste;Minas Gerais;HD Externo Seagate;7;677,39;2049,6
-4,654865;-35,979589;04/05/2024;37926393002;;Nina da Costa;Nordeste;Maranhao;Smartphone Samsung Galaxy;7;1672,5;5253,57
-22,36819;-52,973371;06/08/2025;43847917986;;Rebeca Vieira;Centro-Oeste;Mato Grosso;Notebook Dell Inspiron;13;3063,97;12968,08
-13,925468;-46,919296;22/01/2025;;02280446000142;Empresa Brasileira Tecnologia;Nordeste;Bahia;Carregador Portatil;3;157,41;233,32
-1,592785;-41,717237;05/01/2024;;53174631000193;Distribuidora Componentes;Nordeste;Pernambuco;Fone de Ouvido JBL;7;89,69;233,07
-8,321923;-43,862579;21/03/2025;;79896837000110;Global Distribuidora;Nordeste;Alagoas;Smartphone Samsung Galaxy;10;1641,97;7187,49
-28,571327;-51,004014;29/09/2025;;02337739000119;Comercio Equipamentos SA;Sul;Parana;Monitor Acer;7;779,29;2691,44
-13,852798;-39,442831;12/05/2024;21217574301;;Mateus Sales;Nordeste;Paraiba;HD Externo Seagate;11;346,99;1816,21
-22,609717;-55,331156;04/10/2024;;07578023000127;Empresa Brasileira Tecnologia;Sul;Santa Catarina;Impressora HP;1;863,48;428,07
-9,327436;-35,951649;16/06/2024;09720839287;;Dr. Diogo Viana;Nordeste;Sergipe;Teclado Mecanico Logitech;4;440,29;805,48
-15,297341;-52,408994;04/02/2024;;88560437000120;Comercio Eletronico Brasil;Centro-Oeste;Mato Grosso do Sul;Carregador Portatil;4;179,95;239,37
2,625545;-66,479374;07/01/2024;76502082220;;Stephany das Neves;Norte;Amapa;Camera Canon;5;2798,93;4263,9
-8,283475;-40,917187;29/08/2025;30719386756;;Luiz Henrique da Rosa;Nordeste;Pernambuco;Impressora HP;8;720,65;2286,47
1,84972;-64,236067;25/11/2025;;04936993000169;Comercio Eletronico Brasil;Norte;Rondonia;Notebook Dell Inspiron;5;3081,67;5900,91
-2,346938;-51,377744;29/03/2025;67717481545;;Lorenzo Caldeira;Norte;Amazonas;Smartphone Samsung Galaxy;13;2286,05;11134,06
-16,728845;-46,877343;14/08/2024;;89267871000180;Suprimentos Digitais LTDA;Sudeste;Minas Gerais;Pendrive SanDisk;8;32,28;84,1
-20,629118;-46,01986;11/01/2024;02643467507;;Pedro Silveira;Sudeste;Rio de Janeiro;Camera Canon;7;2397,1;6849,13
-22,470913;-57,447026;29/09/2024;72215948302;;Ágatha Silveira;Centro-Oeste;Mato Grosso do Sul;Fone de Ouvido JBL;10;132,68;591,01
-15,782937;-49,460899;13/04/2025;61801401039;;Apollo Oliveira;Sudeste;Sao Paulo;Smart TV LG;18;2625,8;17033,01
-30,198902;-56,611864;15/08/2024;32485045364;;Maria Luiza Cavalcante;Sul;Santa Catarina;Teclado Mecanico Logitech;20;440,23;3474,54
-20,311698;-53,82559;21/10/2024;30548698147;;Stella Aragao;Centro-Oeste;Mato Grosso do Sul;Fone de Ouvido JBL;9;125,55;508,72
-19,633567;-54,148006;10/07/2025;68452138105;;Eloah Mendes;Centro-Oeste;Mato Grosso do Sul;Carregador Portatil;17;114,89;647,99
-11,348399;-59,025209;13/05/2024;02483821600;;Vitor Gabriel Mendonca;Centro-Oeste;Distrito Federal;Notebook Dell Inspiron;8;2926,26;7149,44
-25,233585;-56,633793;21/03/2025;;02010130000130;Distribuidora Nacional;Sul;Parana;Fone de Ouvido JBL;16;139,83;692,79
-11,525701;-38,485906;30/03/2024;;05336056000135;Inovacao Digital SA;Nordeste;Rio Grande do Norte;Monitor Acer;1;956,18;317,36
-2,158303;-55,386676;23/11/2024;;74558919000131;Tech Solutions LTDA;Norte;Tocantins;Cabo HDMI;13;39,41;213,19
3,473886;-72,106919;12/06/2025;;92357251000146;Industria Eletronica Brasil;Norte;Roraima;Mouse sem fio Microsoft;14;78,78;539,96
-19,360063;-48,781584;12/06/2025;25011638774;;Ana Vitoria Almeida;Sudeste;Espirito Santo;Estabilizador SMS;5;137,53;296,92
-3,924956;-72,612544;14/04/2025;25977237391;;Lavinia Monteiro;Norte;Rondonia;Teclado Mecanico Logitech;18;423,68;3038,09
-1,838207;-56,986938;30/08/2024;;81145887000108;Comercio Eletronico Brasil;Norte;Rondonia;Smart TV LG;10;2106,04;9109,28
-18,96792;-57,764799;20/07/2024;05128148645;;Olivia Camargo;Centro-Oeste;Distrito Federal;Notebook Dell Inspiron;10;3223,11;9887,59
-19,463914;-48,633339;08/09/2024;;86628532000193;Suprimentos Digitais LTDA;Sudeste;Rio de Janeiro;Teclado Mecanico Logitech;14;283,84;1745,64
-30,147789;-50,592717;09/09/2025;66838659816;;Diego Peixoto;Sul;Santa Catarina;Cadeira Gamer;9;619,91;2091,28
-6,873095;-37,595792;24/10/2025;85893036751;;Pedro Henrique Lima;Nordeste;Pernambuco;Pendrive SanDisk;4;80,26;114,68
-1,710212;-54,836675;21/07/2024;;98451884000103;Atacadista Informatica;Norte;Rondonia;Caixa de Som Bluetooth;15;212,26;1107,48
-2,87854;-45,082408;26/11/2025;32307082107;;Hellena Camargo;Nordeste;Paraiba;HD Externo Seagate;15;540,23;2656,86
-21,458114;-50,472796;28/10/2025;;25002687000125;Global Distribuidora;Sudeste;Rio de Janeiro;Notebook Dell Inspiron;1;3367,31;1607,14
-19,725521;-40,472472;02/06/2025;30506605469;;Breno Barros;Sudeste;Rio de Janeiro;Fone de Ouvido JBL;14;194,21;1139,0
-1,932731;-57,114871;21/07/2024;99266803480;;Paulo Barbosa;Norte;Rondonia;Smart TV LG;13;2018,0;8041,2
-11,232585;-41,370875;25/03/2025;45666037927;;Julia Machado;Nordeste;Bahia;Monitor Acer;3;971,48;1339,25
-4,698472;-70,615136;15/09/2025;33365723986;;Sra. Juliana Casa Grande;Norte;Amapa;Cadeira Gamer;15;959,13;5344,13
-31,181594;-57,985634;08/05/2024;42711314405;;Emilly da Paz;Sul;Santa Catarina;Camera Canon;16;2273,94;16332,35
-2,215364;-45,193163;18/09/2025;41392421160;;Maria Luisa Andrade;Nordeste;Bahia;Mesa para Computador;15;540,5;2885,96
-12,393055;-52,500292;11/01/2024;80665289499;;Emilly Correia;Centro-Oeste;Goias;Pendrive SanDisk;20;80,52;781,64
1,135734;-54,216175;01/06/2025;;95675139000141;Industria Eletronica Brasil;Norte;Amazonas;Estabilizador SMS;19;137,45;810,57
0,420964;-56,767217;25/04/2024;20610835017;;Esther Mendonca;Norte;Roraima;Smartphone Samsung Galaxy;7;1704,81;5191,11
-18,971427;-46,978317;15/07/2025;;13201213000123;Importadora Produtos Eletronicos;Centro-Oeste;Mato Grosso;Pendrive SanDisk;10;71,9;249,05
-7,657917;-39,851302;25/12/2024;;85817664000109;Varejo Digital LTDA;Nordeste;Ceara;Pendrive SanDisk;6;30,63;69,92
-10,272325;-45,712018;04/10/2025;;94702501000163;Tech Solutions LTDA;Nordeste;Bahia;Teclado Mecanico Logitech;2;281,26;225,03
-11,954021;-36,106653;07/09/2024;;51385972000182;Solucoes Corporativas;Nordeste;Pernambuco;Cabo HDMI;14;46,25;195,7
-4,188937;-60,012149;17/06/2025;97378617016;;Matheus Borges;Norte;Amazonas;Fone de Ouvido JBL;8;249,96;677,36
-8,773712;-49,06032;28/05/2025;57380042300;;Ana Sophia Aragao;Centro-Oeste;Mato Grosso do Sul;Cabo HDMI;5;37,71;58,63
-24,240661;-57,462088;13/12/2025;41847235433;;Maria Sophia Moraes;Sul;Rio Grande do Sul;Fone de Ouvido JBL;10;136,48;647,25
-8,222493;-47,041238;30/06/2024;47217309425;;Jose Freitas;Nordeste;Sergipe;Fone de Ouvido JBL;14;169,37;1143,76
-8,332679;-37,672742;23/06/2024;21561763454;;Enzo Siqueira;Nordeste;Alagoas;Fone de Ouvido JBL;1;149,99;51,4
-22,114818;-45,181517;01/05/2025;64119439402;;Gustavo Henrique Borges;Sudeste;Sao Paulo;Notebook Dell Inspiron;10;3118,25;15325,52
-15,921509;-49,539971;28/09/2024;;04769571000146;Tecnologia Avancada LTDA;Sudeste;Espirito Santo;Smart TV LG;10;2831,1;8695,07
-10,149584;-51,87644;07/01/2025;68887531072;;Diogo Novaes;Centro-Oeste;Goias;Caixa de Som Bluetooth;6;106,86;318,79
-17,466171;-54,367059;04/12/2024;;53446398000150;Inovacao Digital SA;Centro-Oeste;Distrito Federal;Monitor Acer;14;1115,9;4715,04
-22,638907;-57,52926;28/12/2025;;60150480000107;Comercio Equipamentos SA;Sul;Parana;Cadeira Gamer;7;803,76;2477,57
-33,233315;-52,260313;13/10/2024;26862334948;;Caio Araujo;Sul;Santa Catarina;Mouse sem fio Microsoft;5;88,13;159,31
-23,851212;-49,196979;25/04/2024;;07599183000152;Tech Solutions LTDA;Sudeste;Sao Paulo;Fone de Ouvido JBL;19;110,64;1001,16
-1,676615;-64,764512;03/07/2024;79343051336;;Srta. Maria Laura Guerra;Norte;Para;Monitor Acer;5;1012,75;1649,3
-1,315231;-71,843923;15/07/2025;35931976930;;Antônio Almeida;Norte;Rondonia;HD Externo Seagate;17;336,3;2699,68
-5,765703;-35,852018;26/10/2024;;75138178000100;Distribuidora Nacional;Nordeste;Rio Grande do Norte;Cadeira Gamer;4;753,91;1277,83
-0,975227;-55,237685;28/10/2025;29913544106;;Vitor Hugo da Luz;Norte;Amazonas;Webcam Logitech;14;321,08;1736,37
-18,46256;-60,750212;26/05/2025;;61188248000112;Comercio Varejo SA;Centro-Oeste;Mato Grosso;Cadeira Gamer;11;965,93;5290,47
-2,963886;-39,465925;07/06/2024;;51781449000175;Comercio Equipamentos SA;Nordeste;Pernambuco;Fone de Ouvido JBL;7;215,87;500,75
-27,986975;-48,081978;22/01/2024;98959939196;;Arthur Miguel Oliveira;Sul;Santa Catarina;Tablet Apple iPad;13;3382,94;16289,1
-14,413305;-48,712414;02/07/2024;;78769201000145;Comercio Eletronico Brasil;Sudeste;Rio de Janeiro;Notebook Dell Inspiron;14;3194,35;19919,36
-15,382243;-41,374653;04/03/2024;;95066137000155;Solucoes Corporativas;Sudeste;Sao Paulo;Fone de Ouvido JBL;6;244,07;598,56
-27,371456;-53,909588;01/10/2025;19866436039;;Emanuelly Ferreira;Sul;Santa Catarina;Webcam Logitech;14;301,78;1538,35
-24,728605;-54,630022;08/07/2024;;17282529000148;Comercio Varejo SA;Sul;Santa Catarina;Roteador TP-Link;17;155,16;1057,52
-33,513483;-48,303498;14/01/2024;;83403854000146;Distribuidora Componentes;Sul;Parana;HD Externo Seagate;1;631,54;259,18
-18,998943;-48,14836;11/06/2025;59001580637;;Maria Luiza Martins;Sudeste;Rio de Janeiro;Impressora HP;3;517,92;734,97
2,218864;-57,515229;21/05/2025;;60039066000117;Empresa Brasileira Tecnologia;Norte;Para;Fone de Ouvido JBL;1;111,24;47,23
-24,516579;-54,500446;21/03/2024;;11027418000109;Solucoes Corporativas;Sul;Parana;Mesa para Computador;16;330,29;1894,87
3,637311;-66,400498;16/12/2024;;15658658000162;Comercio Equipamentos SA;Norte;Roraima;Monitor Acer;2;783,72;623,88
-19,032325;-49,239457;10/08/2025;71910891215;;Carolina Vargas;Centro-Oeste;Goias;Smartphone Samsung Galaxy;13;2257,98;9954,68
-21,618046;-56,591724;24/02/2024;95126611100;;Diego Casa Grande;Centro-Oeste;Mato Grosso;Mesa para Computador;3;462,06;670,52
-2,981984;-50,390573;30/05/2025;;83750461000109;Solucoes Corporativas;Norte;Para;Monitor Acer;15;661,69;4817,78
-16,703358;-54,953962;05/12/2024;90909091250;;Henry Gabriel Ferreira;Centro-Oeste;Mato Grosso do Sul;Camera Canon;10;1921,98;6815,34
-11,003146;-60,394994;10/06/2024;;52548171000153;Solucoes Corporativas;Centro-Oeste;Goias;HD Externo Seagate;15;404,96;2014,47
-32,58809;-50,374655;03/08/2024;01496174887;;Rebeca Abreu;Sul;Rio Grande do Sul;Tablet Apple iPad;6;3602,56;10340,93
-16,924317;-40,452199;15/08/2024;;23125463000185;Tecnologia Avancada LTDA;Nordeste;Paraiba;Webcam Logitech;18;295,28;2239,27
-23,717909;-55,137605;18/02/2025;;55198662000100;Global Distribuidora;Sul;Parana;Mouse sem fio Microsoft;18;75,08;491,2
-18,002083;-50,885024;21/11/2025;;22111621000185;Comercio Varejo SA;Sudeste;Sao Paulo;Caixa de Som Bluetooth;5;257,66;563,22
1,647348;-65,621138;09/10/2025;;07643750000120;Industria Nacional Tecnologia;Norte;Rondonia;Caixa de Som Bluetooth;8;257,82;680,63
-19,589702;-45,286471;02/11/2024;;16456507000194;Suprimentos Tecnicos LTDA;Sudeste;Espirito Santo;Mouse sem fio Microsoft;4;103,48;186,01
-20,924062;-49,894271;26/11/2024;;98067046000122;Solucoes Corporativas;Sudeste;Espirito Santo;Smartphone Samsung Galaxy;2;1828,9;1495,22
-23,749144;-54,294457;07/09/2024;;60247077000192;Global Distribuidora;Sul;Santa Catarina;Cadeira Gamer;4;595,48;1109,58
-10,781086;-42,809644;20/09/2025;;10545052000105;Comercio Equipamentos SA;Nordeste;Sergipe;HD Externo Seagate;11;661,21;2558,65
-3,288984;-69,041688;01/12/2025;;86285432000101;Inovacao Digital SA;Norte;Acre;Teclado Mecanico Logitech;4;260,83;364,84
-22,295025;-46,775369;15/02/2025;44527461524;;Pietro Peixoto;Sudeste;Rio de Janeiro;Mesa para Computador;3;394,06;382,27
-21,224871;-42,293818;22/03/2025;;83218379000138;Importadora Produtos Eletronicos;Sudeste;Rio de Janeiro;Estabilizador SMS;8;96,37;242,78
-11,209085;-50,121412;16/05/2025;25225904483;;Mariah Santos;Centro-Oeste;Distrito Federal;Tablet Apple iPad;2;2511,76;1996,8
-4,395508;-69,076189;25/12/2024;;57146963000115;Industria Eletronica Brasil;Norte;Roraima;Fone de Ouvido JBL;20;185,39;1623,89
-23,138633;-48,037434;01/10/2025;17698539792;;Bryan Silveira;Sudeste;Sao Paulo;Fone de Ouvido JBL;4;119,82;179,65
-19,69723;-60,810542;25/01/2025;;92256386000115;Comercio Eletronico Brasil;Centro-Oeste;Mato Grosso do Sul;Mesa para Computador;17;342,45;2822,45
-2,986001;-54,741774;20/04/2025;85896330715;;Dr. Enrico Aparecida;Norte;Tocantins;Fone de Ouvido JBL;16;136,0;1070,54
-25,708769;-56,991605;17/09/2025;22893366376;;Luiz Miguel Barros;Sul;Parana;Notebook Dell Inspiron;5;3322,52;5139,4
-29,632127;-57,971598;23/02/2025;;74130332000127;Inovacao Digital SA;Sul;Santa Catarina;Cadeira Gamer;5;540,94;1193,87
-17,515236;-36,104216;16/05/2025;40551922230;;Pietra da Mota;Nordeste;Ceara;Notebook Dell Inspiron;13;3115,41;18482,66
-17,092807;-48,544938;27/01/2025;94076454286;;Yuri Aragao;Centro-Oeste;Distrito Federal;Smart TV LG;14;2072,03;11328,64
-15,216748;-37,837088;03/08/2024;20788096320;;Dr. Yan Rodrigues;Nordeste;Sergipe;Impressora HP;7;486,36;1168,83
-13,975439;-40,370993;31/05/2025;41155513053;;Davi Lucas Azevedo;Nordeste;Bahia;Roteador TP-Link;2;118,2;115,66
-10,93662;-39,443729;07/09/2024;;39462319000174;Global Distribuidora;Nordeste;Piaui;Notebook Dell Inspiron;16;3256,51;24637,55
-20,016549;-47,127385;19/04/2024;09784659034;;Raquel Pimenta;Sudeste;Sao Paulo;Estabilizador SMS;11;138,66;591,65
-17,384137;-47,495305;09/12/2025;54260127926;;Yago da Rocha;Sudeste;Minas Gerais;Smart TV LG;6;2923,28;6439,6
3,329431;-52,175583;02/12/2025;64293979204;;Eloah Caldeira;Norte;Para;Cabo HDMI;2;18,98;12,53
-8,63357;-55,141982;03/10/2024;61570375801;;Agatha Borges;Centro-Oeste;Mato Grosso;Pendrive SanDisk;17;56,89;470,52
-9,743264;-36,533689;28/01/2024;;80689923000131;Distribuidora Componentes;Nordeste;Alagoas;Pendrive SanDisk;6;68,48;191,93
-10,63651;-44,007263;19/03/2025;46338180155;;Bella Vasconcelos;Nordeste;Paraiba;Smart TV LG;9;2863,87;11535,46
-18,074822;-46,705236;17/04/2024;09178957460;;Eloa da Luz;Centro-Oeste;Mato Grosso;Estabilizador SMS;5;124,58;263,11
-24,273472;-48,178945;20/08/2025;01870582454;;Sophie Marques;Sul;Parana;Camera Canon;9;1744,65;4824,08
-4,683613;-35,816935;07/07/2024;;60703537000140;Comercio Varejo SA;Nordeste;Sergipe;Webcam Logitech;13;265,08;1066,24
-23,781071;-56,681929;25/06/2025;;52892037000175;Industria Nacional Tecnologia;Sul;Rio Grande do Sul;Carregador Portatil;8;91,4;303,32
-13,463432;-58,588103;24/04/2024;51676598928;;Livia Nunes;Centro-Oeste;Mato Grosso;Tablet Apple iPad;4;3907,89;5388,67
-11,919828;-43,025378;31/10/2025;95256080695;;Mariah Barros;Nordeste;Bahia;Cadeira Gamer;15;992,21;4813,25
-21,509936;-43,495964;28/02/2024;35199146629;;Elisa Moraes;Sudeste;Sao Paulo;Fone de Ouvido JBL;2;191,73;126,87
-22,509443;-54,586924;14/03/2025;;08630787000187;Industria Nacional Tecnologia;Centro-Oeste;Mato Grosso do Sul;Cadeira Gamer;2;743,47;617,95
-9,749007;-60,739286;01/02/2025;16609726205;;Sra. Valentina Cirino;Centro-Oeste;Distrito Federal;Caixa de Som Bluetooth;16;290,13;1436,31
-7,078665;-38,511563;18/03/2025;;99643775000142;Tech Solutions LTDA;Nordeste;Maranhao;Carregador Portatil;20;152,46;1414,94
-3,973445;-45,510975;06/06/2024;87447698652;;Brayan Pacheco;Nordeste;Bahia;Camera Canon;4;3315,41;5940,6
-21,461845;-55,046013;11/03/2025;;84289329000104;Comercio Internacional SA;Centro-Oeste;Mato Grosso do Sul;Estabilizador SMS;14;113,87;577,82
-16,153746;-41,127752;12/07/2025;49800831967;;Ana Carolina Pereira;Sudeste;Minas Gerais;Monitor Acer;12;820,48;3087,44
-24,537078;-54,345262;19/04/2024;;11374514000123;Comercio Eletronico Brasil;Sul;Rio Grande do Sul;Roteador TP-Link;1;193,87;60,62
4,623809;-51,927923;22/10/2024;13014912255;;Cecilia Rodrigues;Norte;Acre;Camera Canon;14;2787,43;14634,75
-15,12864;-40,572629;31/01/2024;;31863928000123;Tecnologia Avancada LTDA;Sudeste;Espirito Santo;Pendrive SanDisk;2;90,92;82,18
-16,317967;-47,236873;08/11/2024;;61644618000189;Distribuidora Nacional;Sudeste;Sao Paulo;Cabo HDMI;12;15,66;92,25
-2,596762;-40,623995;09/03/2025;15704836631;;Gustavo Henrique Santos;Nordeste;Ceara;Tablet Apple iPad;17;3544,99;29723,46
-17,813652;-60,330772;26/08/2024;88222016555;;Mariane Novais;Centro-Oeste;Distrito Federal;Impressora HP;8;666,16;2631,99
-3,536735;-65,713498;07/03/2024;16515864540;;Joao Miguel Pires;Norte;Amazonas;Carregador Portatil;17;121,27;1003,87
-25,886715;-52,214553;02/03/2024;04197926278;;Marcela Pires;Sul;Rio Grande do Sul;Monitor Acer;6;1169,63;2331,06
-17,781546;-47,409428;06/12/2024;26121007095;;Raquel Nascimento;Nordeste;Pernambuco;Mesa para Computador;12;515,2;2319,35
